age,workclass,educational-num,occupation,gender,hours-per-week,income
25,Private,7,Machine-op-inspct,Male,40,<=50K
38,Private,9,Farming-fishing,Male,50,<=50K
28,Local-gov,12,Protective-serv,Male,40,>50K
44,Private,10,Machine-op-inspct,Male,40,>50K
18,?,10,?,Female,30,<=50K
34,Private,6,Other-service,Male,30,<=50K
29,?,9,?,Male,40,<=50K
63,Self-emp-not-inc,15,Prof-specialty,Male,32,>50K
24,Private,10,Other-service,Female,40,<=50K
55,Private,4,Craft-repair,Male,10,<=50K
65,Private,9,Machine-op-inspct,Male,40,>50K
36,Federal-gov,13,Adm-clerical,Male,40,<=50K
26,Private,9,Adm-clerical,Female,39,<=50K
58,?,9,?,Male,35,<=50K
48,Private,9,Machine-op-inspct,Male,48,>50K
43,Private,14,Exec-managerial,Male,50,>50K
20,State-gov,10,Other-service,Male,25,<=50K
43,Private,9,Adm-clerical,Female,30,<=50K
37,Private,9,Machine-op-inspct,Female,20,<=50K
40,Private,16,Prof-specialty,Male,45,>50K
34,Private,13,Tech-support,Male,47,>50K
34,Private,10,Other-service,Female,35,<=50K
72,?,4,?,Female,6,<=50K
25,Private,13,Prof-specialty,Male,43,<=50K
25,Private,13,Prof-specialty,Male,40,<=50K
45,Self-emp-not-inc,9,Craft-repair,Male,90,>50K
22,Private,9,Adm-clerical,Male,20,<=50K
23,Private,9,Machine-op-inspct,Male,54,<=50K
54,Private,9,Craft-repair,Male,35,<=50K
32,Self-emp-not-inc,10,Prof-specialty,Male,60,<=50K
46,State-gov,10,Exec-managerial,Male,38,>50K
56,Self-emp-not-inc,7,Other-service,Female,50,<=50K
24,Self-emp-not-inc,13,Sales,Male,50,<=50K
23,Local-gov,10,Protective-serv,Male,40,<=50K
26,Private,9,Exec-managerial,Female,40,<=50K
65,?,9,?,Male,40,<=50K
36,Local-gov,13,Prof-specialty,Male,40,>50K
22,Private,3,Priv-house-serv,Male,50,<=50K
17,Private,6,Machine-op-inspct,Male,40,<=50K
20,Private,9,Craft-repair,Male,40,<=50K
65,Private,14,Prof-specialty,Male,50,>50K
44,Self-emp-inc,11,Sales,Male,45,>50K
36,Private,9,Farming-fishing,Male,40,<=50K
29,Private,7,Other-service,Male,40,<=50K
20,State-gov,10,Farming-fishing,Male,32,<=50K
28,Private,11,Prof-specialty,Female,36,>50K
39,Private,4,Craft-repair,Male,40,<=50K
54,Private,10,Transport-moving,Male,50,<=50K
52,Private,7,Priv-house-serv,Female,18,<=50K
56,Self-emp-inc,9,Exec-managerial,Female,50,<=50K
18,Private,10,Other-service,Male,20,<=50K
39,Private,9,Handlers-cleaners,Male,40,<=50K
21,Private,10,Other-service,Female,24,<=50K
22,Private,9,Other-service,Male,60,>50K
38,Private,5,Exec-managerial,Male,54,<=50K
21,Private,10,Adm-clerical,Female,40,<=50K
63,Private,9,Craft-repair,Male,40,<=50K
34,Local-gov,13,Exec-managerial,Male,50,>50K
42,Self-emp-inc,9,Exec-managerial,Male,50,>50K
33,Private,9,Handlers-cleaners,Male,40,<=50K
30,Private,13,Exec-managerial,Female,50,<=50K
39,Private,10,Sales,Male,40,<=50K
26,Private,14,Exec-managerial,Female,40,<=50K
33,Private,9,Machine-op-inspct,Female,40,<=50K
47,Local-gov,9,Adm-clerical,Female,40,<=50K
41,Private,13,Other-service,Female,40,<=50K
41,Self-emp-inc,12,Craft-repair,Male,60,>50K
19,Private,10,Other-service,Male,20,<=50K
46,Private,9,Transport-moving,Male,40,<=50K
43,Private,9,Sales,Male,48,<=50K
55,Private,10,Exec-managerial,Male,45,>50K
46,Private,11,Tech-support,Male,40,<=50K
30,Private,9,Machine-op-inspct,Male,40,<=50K
21,Private,10,Handlers-cleaners,Female,40,<=50K
46,Private,10,Craft-repair,Male,40,<=50K
17,?,6,?,Male,40,<=50K
41,Private,9,Machine-op-inspct,Male,50,<=50K
69,Self-emp-inc,9,Sales,Male,30,<=50K
50,Private,9,Transport-moving,Male,40,<=50K
20,Private,10,Adm-clerical,Female,40,<=50K
45,Self-emp-inc,10,Machine-op-inspct,Male,50,<=50K
23,Private,13,Exec-managerial,Male,40,<=50K
24,Private,10,Other-service,Male,40,<=50K
44,Self-emp-inc,9,Craft-repair,Male,50,>50K
31,Self-emp-not-inc,10,Craft-repair,Male,50,<=50K
43,Private,9,Machine-op-inspct,Female,44,<=50K
20,Federal-gov,7,Other-service,Female,10,<=50K
55,Private,9,Sales,Male,56,>50K
24,Federal-gov,10,Armed-Forces,Male,40,<=50K
41,?,14,?,Female,10,>50K
59,Private,13,Exec-managerial,Female,25,<=50K
49,Federal-gov,4,Other-service,Male,20,<=50K
33,Private,14,Prof-specialty,Female,10,>50K
59,Federal-gov,13,Adm-clerical,Male,40,<=50K
34,Private,14,Other-service,Male,40,<=50K
20,Private,9,Handlers-cleaners,Male,40,<=50K
25,Private,13,Exec-managerial,Female,40,<=50K
49,Private,6,Farming-fishing,Male,40,<=50K
59,Private,9,Transport-moving,Male,40,>50K
20,Private,9,Adm-clerical,Female,40,<=50K
51,?,10,?,Female,18,<=50K
33,Private,10,Adm-clerical,Female,35,<=50K
22,Private,10,Transport-moving,Male,39,<=50K
58,Self-emp-not-inc,5,Other-service,Female,40,<=50K
52,Local-gov,9,Adm-clerical,Female,28,<=50K
36,Private,6,Machine-op-inspct,Female,40,<=50K
41,Local-gov,9,Protective-serv,Male,40,<=50K
28,Private,9,Transport-moving,Male,40,<=50K
19,Private,10,Handlers-cleaners,Male,16,<=50K
18,Private,9,Other-service,Female,28,<=50K
18,Private,9,Machine-op-inspct,Female,48,<=50K
28,Private,10,Craft-repair,Male,40,<=50K
29,Private,11,Exec-managerial,Male,40,>50K
20,?,9,?,Female,20,<=50K
40,Private,10,Handlers-cleaners,Male,40,<=50K
26,Private,9,Handlers-cleaners,Male,40,<=50K
46,Private,9,Craft-repair,Male,40,<=50K
23,Private,7,Other-service,Female,24,<=50K
44,Private,9,Adm-clerical,Female,40,<=50K
43,Private,13,Sales,Female,40,>50K
31,Local-gov,13,Prof-specialty,Female,60,<=50K
18,Private,10,Sales,Female,25,<=50K
19,Private,10,Protective-serv,Male,30,<=50K
41,Private,10,Tech-support,Female,40,<=50K
41,Private,9,Handlers-cleaners,Female,40,<=50K
69,Private,9,Adm-clerical,Female,25,<=50K
48,Federal-gov,16,Prof-specialty,Female,40,>50K
28,Private,9,Prof-specialty,Male,40,<=50K
27,Self-emp-not-inc,9,Craft-repair,Male,60,>50K
41,Private,14,Prof-specialty,Male,50,>50K
41,Private,10,Adm-clerical,Male,40,<=50K
24,Private,9,Craft-repair,Female,40,<=50K
20,?,9,?,Female,40,<=50K
42,Self-emp-inc,16,Prof-specialty,Male,41,>50K
57,Private,9,Craft-repair,Male,48,<=50K
30,Private,12,Prof-specialty,Female,40,<=50K
36,Private,9,Sales,Male,60,>50K
49,Private,4,Machine-op-inspct,Male,40,<=50K
33,Private,9,Machine-op-inspct,Female,35,<=50K
23,Private,6,Farming-fishing,Male,40,<=50K
46,Private,14,Prof-specialty,Male,40,<=50K
18,Private,10,Adm-clerical,Female,22,<=50K
40,Private,9,Exec-managerial,Male,55,>50K
43,Self-emp-inc,9,Exec-managerial,Male,45,>50K
34,Private,14,Prof-specialty,Female,30,<=50K
47,Self-emp-not-inc,9,Exec-managerial,Female,30,<=50K
44,Private,11,Exec-managerial,Female,30,<=50K
33,Private,9,Sales,Male,40,>50K
55,Private,13,Exec-managerial,Male,50,>50K
19,Private,9,Sales,Male,30,<=50K
28,Private,10,Other-service,Male,14,<=50K
27,Private,7,Other-service,Female,32,<=50K
50,Private,4,Machine-op-inspct,Male,20,<=50K
22,Private,7,Craft-repair,Male,40,<=50K
40,State-gov,13,Adm-clerical,Male,45,>50K
25,Private,10,Adm-clerical,Female,40,<=50K
26,Local-gov,9,Craft-repair,Male,40,<=50K
22,Private,13,Sales,Male,25,<=50K
42,Private,10,Handlers-cleaners,Female,40,<=50K
38,Self-emp-inc,13,Exec-managerial,Male,40,<=50K
55,Private,7,Other-service,Male,30,<=50K
32,Private,9,Sales,Male,40,<=50K
22,Private,9,Craft-repair,Male,45,<=50K
29,Private,13,Sales,Male,40,<=50K
46,State-gov,14,Exec-managerial,Male,45,>50K
31,Private,10,Exec-managerial,Male,40,>50K
58,Self-emp-not-inc,16,Prof-specialty,Male,16,>50K
42,Private,9,Craft-repair,Male,45,<=50K
18,Private,9,Handlers-cleaners,Male,25,<=50K
58,Local-gov,9,Exec-managerial,Male,33,<=50K
54,Private,9,Prof-specialty,Male,40,>50K
34,Private,14,Prof-specialty,Male,40,<=50K
26,Private,13,Adm-clerical,Female,40,<=50K
61,Private,8,Exec-managerial,Male,60,<=50K
48,Local-gov,14,Adm-clerical,Female,40,<=50K
36,Private,10,Exec-managerial,Male,45,>50K
24,Private,11,Machine-op-inspct,Male,45,<=50K
40,Private,10,Machine-op-inspct,Male,37,<=50K
33,Self-emp-inc,9,Sales,Male,50,>50K
37,Private,10,Machine-op-inspct,Male,40,>50K
34,Private,14,Exec-managerial,Male,40,<=50K
56,Self-emp-inc,10,Exec-managerial,Male,40,>50K
28,?,9,?,Female,38,>50K
37,Private,13,Exec-managerial,Female,55,<=50K
44,Private,9,Sales,Female,40,<=50K
64,?,10,?,Male,8,<=50K
54,Private,9,Handlers-cleaners,Male,45,<=50K
23,Private,9,Machine-op-inspct,Male,50,<=50K
34,State-gov,13,Farming-fishing,Male,40,<=50K
22,Private,9,Other-service,Female,45,<=50K
33,Private,13,Exec-managerial,Male,40,>50K
39,Private,13,Prof-specialty,Male,50,>50K
47,Private,10,Adm-clerical,Female,37,<=50K
79,?,4,?,Male,40,<=50K
26,Private,9,Prof-specialty,Female,55,<=50K
